"site","date","intern_data","start_time","end_time","PG_count","burrow_count","burrow_visit.x","qaqc","mult_count","burrow_name","Gunnel","Sculpin","Other","burrow_visit.y","qaqc_concern"
"Harrington South",2010-07-22,"Y","8:00","13",0,0,0,"","Y","3",2,0,0,0,""
"Harrington South",2010-07-22,"Y","8:00","13",0,0,0,"","Y","6a",5,0,0,0,""
"Harrington South",2010-07-22,"Y","7:00","25",0,0,0,"","Y","25",1,0,0,0,""
"Harrington South",2010-07-22,"Y","7:00","25",0,0,0,"","Y","3",2,0,0,0,""
"Harrington South",2010-07-22,"Y","7:00","25",0,0,0,"","Y","6a",5,0,0,0,""
"Harrington South",2010-07-22,"Y","6:00","29",0,0,0,"","Y","25",1,0,0,0,""
"Harrington South",2010-07-22,"Y","6:00","29",0,0,0,"","Y","3",2,0,0,0,""
"Harrington South",2010-07-22,"Y","6:00","29",0,0,0,"","Y","6a",5,0,0,0,""
"Harrington South",2010-07-22,"Y","6:30","15",0,0,0,"","Y","25",1,0,0,0,""
"Harrington South",2010-07-22,"Y","6:30","15",0,0,0,"","Y","3",2,0,0,0,""
"Harrington South",2010-07-22,"Y","6:30","15",0,0,0,"","Y","6a",5,0,0,0,""
"Harrington South",2010-07-22,"Y","9:00","16",0,0,0,"","Y","25",1,0,0,0,""
"Harrington South",2010-07-22,"Y","9:00","16",0,0,0,"","Y","3",2,0,0,0,""
"Harrington South",2010-07-22,"Y","9:00","16",0,0,0,"","Y","6a",5,0,0,0,""
"Harrington South",2010-07-22,"Y","7:30","22",0,0,0,"","Y","25",1,0,0,0,""
"Harrington South",2010-07-22,"Y","7:30","22",0,0,0,"","Y","3",2,0,0,0,""
"Harrington South",2010-07-22,"Y","7:30","22",0,0,0,"","Y","6a",5,0,0,0,""
"Harrington South",2010-07-22,"Y","9:30","7",0,0,0,"","Y","25",1,0,0,0,""
"Harrington South",2010-07-22,"Y","9:30","7",0,0,0,"","Y","3",2,0,0,0,""
"Harrington South",2010-07-22,"Y","9:30","7",0,0,0,"","Y","6a",5,0,0,0,""
"Harrington South",2010-07-22,"Y","8:30","14",0,0,0,"","Y","25",1,0,0,0,""
"Harrington South",2010-07-22,"Y","8:30","14",0,0,0,"","Y","3",2,0,0,0,""
"Harrington South",2010-07-22,"Y","8:30","14",0,0,0,"","Y","6a",5,0,0,0,""
"Harrington South",2010-07-29,"Y","9:30","15",0,0,0,"","Y","25",0,1,0,0,""
"Harrington South",2010-07-29,"Y","9:30","15",0,0,0,"","Y","6a",0,2,0,0,""
"Harrington South",2010-07-29,"Y","6:30","20",0,0,0,"","Y","25",0,1,0,0,""
"Harrington South",2010-07-29,"Y","6:30","20",0,0,0,"","Y","6a",0,2,0,0,""
"Harrington South",2010-07-29,"Y","8:00","18",0,0,0,"","Y","25",0,1,0,0,""
"Harrington South",2010-07-29,"Y","8:00","18",0,0,0,"","Y","6a",0,2,0,0,""
"Harrington South",2010-07-29,"Y","7:00","19",0,0,0,"","Y","25",0,1,0,0,""
"Harrington South",2010-07-29,"Y","7:00","19",0,0,0,"","Y","6a",0,2,0,0,""
"Harrington South",2010-07-29,"Y","10:00","16",0,0,0,"","Y","25",0,1,0,0,""
"Harrington South",2010-07-29,"Y","10:00","16",0,0,0,"","Y","6a",0,2,0,0,""
"Harrington South",2010-07-29,"Y","9:00","20",0,0,0,"","Y","25",0,1,0,0,""
"Harrington South",2010-07-29,"Y","9:00","20",0,0,0,"","Y","6a",0,2,0,0,""
"Harrington South",2010-07-29,"Y","7:30","19",0,0,0,"","Y","25",0,1,0,0,""
"Harrington South",2010-07-29,"Y","7:30","19",0,0,0,"","Y","6a",0,2,0,0,""
"Harrington South",2010-07-29,"Y","5:30","12",0,0,0,"","Y","25",0,1,0,0,""
"Harrington South",2010-07-29,"Y","5:30","12",0,0,0,"","Y","6a",0,2,0,0,""
"Harrington South",2010-07-29,"Y","8:30","15",0,0,0,"","Y","25",0,1,0,0,""
"Harrington South",2010-07-29,"Y","8:30","15",0,0,0,"","Y","6a",0,2,0,0,""
"Harrington South",2010-07-29,"Y","6:00","25",0,0,0,"","Y","25",0,1,0,0,""
"Harrington South",2010-07-29,"Y","6:00","25",0,0,0,"","Y","6a",0,2,0,0,""
"Harrington South",2010-07-29,"Y","10:30","16",0,0,0,"","Y","25",0,1,0,0,""
"Harrington South",2010-07-29,"Y","10:30","16",0,0,0,"","Y","6a",0,2,0,0,""
"Harrington South",2010-08-05,"","8:00","9:00",12,7,2,"","","1",0,0,0,2,""
"Harrington South",2010-08-05,"Y","9:30","14",0,0,0,"","Y","25",3,3,1,0,""
"Harrington South",2010-08-05,"Y","9:30","14",0,0,0,"","Y","6a",1,0,0,0,""
"Harrington South",2010-08-05,"Y","8:00","12",0,0,0,"","Y","25",3,3,1,0,""
"Harrington South",2010-08-05,"Y","8:00","12",0,0,0,"","Y","6a",1,0,0,0,""
"Harrington South",2010-08-05,"Y","10:30","14",0,0,0,"","Y","25",3,3,1,0,""
"Harrington South",2010-08-05,"Y","10:30","14",0,0,0,"","Y","6a",1,0,0,0,""
"Harrington South",2010-08-05,"Y","8:30","12",0,0,0,"","Y","25",3,3,1,0,""
"Harrington South",2010-08-05,"Y","8:30","12",0,0,0,"","Y","6a",1,0,0,0,""
"Harrington South",2010-08-05,"Y","7:00","14",0,0,0,"","Y","25",3,3,1,0,""
"Harrington South",2010-08-05,"Y","7:00","14",0,0,0,"","Y","6a",1,0,0,0,""
"Harrington South",2010-08-05,"Y","11:00","16",0,0,0,"","Y","25",3,3,1,0,""
"Harrington South",2010-08-05,"Y","11:00","16",0,0,0,"","Y","6a",1,0,0,0,""
"Harrington South",2010-08-05,"Y","9:00","15",0,0,0,"","Y","25",3,3,1,0,""
"Harrington South",2010-08-05,"Y","9:00","15",0,0,0,"","Y","6a",1,0,0,0,""
"Harrington South",2010-08-05,"Y","7:30","17",0,0,0,"","Y","25",3,3,1,0,""
"Harrington South",2010-08-05,"Y","7:30","17",0,0,0,"","Y","6a",1,0,0,0,""
"Harrington South",2010-08-05,"Y","6:00","17",0,0,0,"","Y","25",3,3,1,0,""
"Harrington South",2010-08-05,"Y","6:00","17",0,0,0,"","Y","6a",1,0,0,0,""
"Harrington South",2010-08-05,"Y","10:05","19",0,0,0,"","Y","25",3,3,1,0,""
"Harrington South",2010-08-05,"Y","10:05","19",0,0,0,"","Y","6a",1,0,0,0,""
"Harrington South",2010-08-05,"Y","6:30","19",0,0,0,"","Y","25",3,3,1,0,""
"Harrington South",2010-08-05,"Y","6:30","19",0,0,0,"","Y","6a",1,0,0,0,""
"Harrington South",2010-08-12,"","8:00","9:00",17,7,2,"","","4",0,0,0,3,""
"Harrington South",2010-08-12,"","8:00","9:00",17,7,2,"","","1",2,1,0,0,""
"Harrington South",2010-08-12,"","8:00","9:00",17,7,2,"","","2",0,0,0,2,""
