"year","site","burrow_name","study_day","burrow_visit","tot_prey","prey_start","prey_end","bv_start","bv_end","prey_days","bv_days","capt_hist"
2008,"Harrington North","3",47,0,1,38,47,NA,NA,10,NA,2
2008,"Harrington North","3",38,0,2,38,47,NA,NA,10,NA,2
2008,"Harrington North","4",54,1,1,38,54,54,54,17,1,2
2008,"Harrington North","4",38,0,4,38,54,54,54,17,1,2
2008,"Harrington North","4",47,0,2,38,54,54,54,17,1,2
2008,"Harrington North","5",54,0,1,47,54,NA,NA,8,NA,2
2008,"Harrington North","5",47,0,1,47,54,NA,NA,8,NA,2
2008,"Harrington North","6",54,0,3,54,54,NA,NA,1,NA,2
2008,"Harrington North","7",47,0,1,47,54,NA,NA,8,NA,2
2008,"Harrington North","7",54,0,1,47,54,NA,NA,8,NA,2
2008,"Harrington North","A ",23,0,2,23,23,NA,NA,1,NA,2
2008,"Harrington North","B",23,0,1,23,23,NA,NA,1,NA,2
2008,"Harrington North","C",32,0,1,32,32,NA,NA,1,NA,2
2008,"Harrington North","C ",23,1,0,NA,NA,23,23,NA,1,3
2008,"Harrington North","D",32,0,1,32,32,NA,NA,1,NA,2
2008,"Harrington North","E",32,0,2,32,32,NA,NA,1,NA,2
2008,"Harrington South","B",47,0,1,47,47,NA,NA,1,NA,2
2008,"Harrington South","D",59,3,1,40,59,54,59,20,6,2
2008,"Harrington South","D",40,0,1,40,59,54,59,20,6,2
2008,"Harrington South","D",47,0,1,40,59,54,59,20,6,2
2008,"Harrington South","D",54,1,3,40,59,54,59,20,6,2
2008,"Harrington South","G",47,0,1,47,47,59,59,1,1,2
2008,"Harrington South","G",59,4,0,47,47,59,59,1,1,3
2008,"Harrington South","H",47,2,2,23,47,23,59,25,37,2
2008,"Harrington South","H",59,5,0,23,47,23,59,25,37,3
2008,"Harrington South","H",23,1,1,23,47,23,59,25,37,2
2008,"Harrington South","H",40,0,1,23,47,23,59,25,37,2
2008,"Harrington South","I",40,1,1,40,40,40,40,1,1,2
2008,"Harrington South","J",31,1,0,NA,NA,31,31,NA,1,3
2008,"Harrington South","K",59,4,0,NA,NA,59,59,NA,1,3
2008,"Harrington South","L",47,2,4,31,54,47,54,24,8,2
2008,"Harrington South","L",31,0,1,31,54,47,54,24,8,2
2008,"Harrington South","L",40,0,2,31,54,47,54,24,8,2
2008,"Harrington South","L",54,1,4,31,54,47,54,24,8,2
2008,"Harrington South","M",47,2,0,NA,NA,47,47,NA,1,3
2008,"Harrington South","N",40,0,1,40,59,59,59,20,1,2
2008,"Harrington South","N",59,5,3,40,59,59,59,20,1,2
2008,"Harrington South","N",54,0,1,40,59,59,59,20,1,2
2008,"Hastie Lake","1",28,0,1,28,28,NA,NA,1,NA,2
2008,"Hastie Lake","2",41,1,0,35,52,41,52,18,12,3
2008,"Hastie Lake","2",35,0,1,35,52,41,52,18,12,2
2008,"Hastie Lake","2",52,1,1,35,52,41,52,18,12,2
2008,"Hastie Lake","2",45,1,0,35,52,41,52,18,12,3
2008,"Hastie Lake","3",35,2,0,NA,NA,35,35,NA,1,3
2008,"Keystone","1",41,0,3,35,41,NA,NA,7,NA,2
2008,"Keystone","1",35,0,1,35,41,NA,NA,7,NA,2
2008,"Keystone","2",63,0,1,28,63,NA,NA,36,NA,2
2008,"Keystone","2",56,0,3,28,63,NA,NA,36,NA,2
2008,"Keystone","2",35,0,2,28,63,NA,NA,36,NA,2
2008,"Keystone","2",28,0,1,28,63,NA,NA,36,NA,2
2008,"Keystone","2",48,0,1,28,63,NA,NA,36,NA,2
2008,"Keystone","3",35,0,1,35,77,NA,NA,43,NA,2
2008,"Keystone","3",48,0,1,35,77,NA,NA,43,NA,2
2008,"Keystone","3",70,0,6,35,77,NA,NA,43,NA,2
2008,"Keystone","3",77,0,7,35,77,NA,NA,43,NA,2
2008,"Keystone","3",63,0,1,35,77,NA,NA,43,NA,2
2008,"Keystone","3",56,0,9,35,77,NA,NA,43,NA,2
2008,"Keystone","4",35,0,1,35,70,NA,NA,36,NA,2
2008,"Keystone","4",48,0,1,35,70,NA,NA,36,NA,2
2008,"Keystone","4",41,0,3,35,70,NA,NA,36,NA,2
2008,"Keystone","4",70,0,3,35,70,NA,NA,36,NA,2
2008,"Keystone","5",41,0,3,41,41,NA,NA,1,NA,2
2008,"Keystone","6",48,0,2,48,70,NA,NA,23,NA,2
2008,"Keystone","6",63,0,1,48,70,NA,NA,23,NA,2
2008,"Keystone","6",70,0,2,48,70,NA,NA,23,NA,2
2008,"Lagoon North #1","1",70,0,1,70,70,28,63,1,36,2
2008,"Lagoon North #1","1",49,3,0,70,70,28,63,1,36,1
2008,"Lagoon North #1","1",56,4,0,70,70,28,63,1,36,1
2008,"Lagoon North #1","1",28,1,0,70,70,28,63,1,36,1
2008,"Lagoon North #1","1",63,1,0,70,70,28,63,1,36,1
2008,"Lagoon North #1","2",49,0,2,28,63,28,63,36,36,2
2008,"Lagoon North #1","2",56,2,0,28,63,28,63,36,36,3
2008,"Lagoon North #1","2",28,4,4,28,63,28,63,36,36,2
2008,"Lagoon North #1","2",43,4,0,28,63,28,63,36,36,3
2008,"Lagoon North #1","2",63,5,3,28,63,28,63,36,36,2
2008,"Lagoon North #1","3",43,3,0,NA,NA,43,43,NA,1,3
2008,"Lagoon North #1","4",63,3,2,63,63,43,63,1,21,2
2008,"Lagoon North #1","4",56,4,0,63,63,43,63,1,21,1
2008,"Lagoon North #1","4",43,4,0,63,63,43,63,1,21,1
2008,"Lagoon North #1","4",49,6,0,63,63,43,63,1,21,1
2008,"Lagoon North #2","2",28,0,4,28,28,28,28,1,1,2
2008,"Lagoon North #2","2",28,3,0,28,28,28,28,1,1,3
2008,"Lagoon North #2","3",28,2,0,NA,NA,28,28,NA,1,3
2008,"Lagoon North #3","1",49,4,0,56,56,28,63,1,36,1
2008,"Lagoon North #3","1",28,1,0,56,56,28,63,1,36,1
2008,"Lagoon North #3","1",63,2,0,56,56,28,63,1,36,3
2008,"Lagoon North #3","1",35,1,0,56,56,28,63,1,36,1
2008,"Lagoon North #3","1",63,1,0,56,56,28,63,1,36,3
2008,"Lagoon North #3","1",56,2,1,56,56,28,63,1,36,2
2008,"Lagoon North #3","2",63,5,3,49,63,49,63,15,15,2
2008,"Lagoon North #3","2",49,1,1,49,63,49,63,15,15,2
2008,"Lagoon North #3","2",63,1,1,49,63,49,63,15,15,2
2008,"Lagoon North #3","3",63,1,1,49,70,63,70,22,8,2
2008,"Lagoon North #3","3",70,1,1,49,70,63,70,22,8,2
2008,"Lagoon North #3","3",49,0,2,49,70,63,70,22,8,2
2008,"Lagoon North #3","4",63,3,2,63,63,63,63,1,1,2
2008,"Lagoon North #3","5",56,1,0,NA,NA,56,56,NA,1,3
2008,"Lagoon North #3","6",70,3,3,56,70,56,70,15,15,2
2008,"Lagoon North #3","6",56,5,1,56,70,56,70,15,15,2
2008,"Lagoon North #3","7",56,5,0,NA,NA,56,56,NA,1,3
2008,"Lagoon North #3","8",56,5,0,NA,NA,56,56,NA,1,3
2008,"Lagoon South","A",39,1,0,45,52,31,52,8,22,1
2008,"Lagoon South","A",45,2,2,45,52,31,52,8,22,2
2008,"Lagoon South","A",31,1,0,45,52,31,52,8,22,1
2008,"Lagoon South","A",52,6,2,45,52,31,52,8,22,2
2008,"Lagoon South","B",59,2,1,45,59,39,59,15,21,2
2008,"Lagoon South","B",45,2,2,45,59,39,59,15,21,2
2008,"Lagoon South","B",39,1,0,45,59,39,59,15,21,1
2008,"Lagoon South","B",66,0,0,45,59,39,59,15,21,4
2008,"Lagoon South","B",52,4,1,45,59,39,59,15,21,2
2008,"Lagoon South","C",52,1,1,52,52,52,52,1,1,2
2008,"Lagoon South","D",52,7,2,45,66,45,59,22,15,2
2008,"Lagoon South","D",45,3,3,45,66,45,59,22,15,2
2008,"Lagoon South","D",59,1,1,45,66,45,59,22,15,2
2008,"Lagoon South","D",66,0,4,45,66,45,59,22,15,2
2008,"Lagoon South","E",52,6,1,45,66,45,66,22,22,2
2008,"Lagoon South","E",59,2,1,45,66,45,66,22,22,2
2008,"Lagoon South","E",66,2,4,45,66,45,66,22,22,2
2008,"Lagoon South","E",45,1,1,45,66,45,66,22,22,2
2008,"Lagoon South","F",52,1,1,52,52,52,52,1,1,2
2008,"Lagoon South","X",66,4,0,NA,NA,66,66,NA,1,3
2008,"Lagoon South","Y",66,5,0,NA,NA,66,66,NA,1,3
2008,"Ledgewood","1",44,1,1,26,54,26,62,29,37,2
2008,"Ledgewood","1",54,1,1,26,54,26,62,29,37,2
2008,"Ledgewood","1",26,1,1,26,54,26,62,29,37,2
2008,"Ledgewood","1",62,2,0,26,54,26,62,29,37,3
2008,"Ledgewood","10",44,2,2,44,69,40,69,26,30,2
2008,"Ledgewood","10",62,3,1,44,69,40,69,26,30,2
2008,"Ledgewood","10",40,1,0,44,69,40,69,26,30,1
2008,"Ledgewood","10",54,3,1,44,69,40,69,26,30,2
2008,"Ledgewood","10",69,1,1,44,69,40,69,26,30,2
2008,"Ledgewood","11",54,2,0,NA,NA,40,62,NA,23,3
2008,"Ledgewood","11",40,2,0,NA,NA,40,62,NA,23,3
2008,"Ledgewood","11",62,2,0,NA,NA,40,62,NA,23,3
2008,"Ledgewood","12",69,1,1,69,69,54,69,1,16,2
2008,"Ledgewood","12",54,2,0,69,69,54,69,1,16,1
2008,"Ledgewood","12",62,1,0,69,69,54,69,1,16,1
2008,"Ledgewood","13",69,1,1,62,69,62,69,8,8,2
2008,"Ledgewood","13",62,2,2,62,69,62,69,8,8,2
2008,"Ledgewood","14",74,1,1,74,74,74,74,1,1,2
2008,"Ledgewood","2",44,1,1,44,69,40,69,26,30,2
2008,"Ledgewood","2",62,3,0,44,69,40,69,26,30,3
2008,"Ledgewood","2",59,2,1,44,69,40,69,26,30,2
2008,"Ledgewood","2",69,2,1,44,69,40,69,26,30,2
2008,"Ledgewood","2",40,2,0,44,69,40,69,26,30,1
2008,"Ledgewood","2",54,1,2,44,69,40,69,26,30,2
2008,"Ledgewood","3",40,4,2,40,69,40,69,30,30,2
2008,"Ledgewood","3",54,3,2,40,69,40,69,30,30,2
2008,"Ledgewood","3",69,3,1,40,69,40,69,30,30,2
2008,"Ledgewood","3",59,2,2,40,69,40,69,30,30,2
2008,"Ledgewood","3",62,3,0,40,69,40,69,30,30,3
2008,"Ledgewood","4",32,1,0,44,69,32,69,26,38,1
2008,"Ledgewood","4",62,4,0,44,69,32,69,26,38,3
2008,"Ledgewood","4",69,5,2,44,69,32,69,26,38,2
2008,"Ledgewood","4",59,6,1,44,69,32,69,26,38,2
2008,"Ledgewood","4",40,2,0,44,69,32,69,26,38,1
2008,"Ledgewood","4",44,2,2,44,69,32,69,26,38,2
2008,"Ledgewood","4",54,6,1,44,69,32,69,26,38,2
2008,"Ledgewood","5",62,5,0,NA,NA,40,69,NA,30,3
2008,"Ledgewood","5",40,2,0,NA,NA,40,69,NA,30,3
2008,"Ledgewood","5",69,2,0,NA,NA,40,69,NA,30,3
2008,"Ledgewood","6",32,1,0,40,40,32,40,1,9,1
2008,"Ledgewood","6",40,3,1,40,40,32,40,1,9,2
2008,"Ledgewood","7",44,2,2,44,69,32,69,26,38,2
2008,"Ledgewood","7",32,1,0,44,69,32,69,26,38,1
2008,"Ledgewood","7",54,1,1,44,69,32,69,26,38,2
2008,"Ledgewood","7",69,3,2,44,69,32,69,26,38,2
2008,"Ledgewood","7",62,1,1,44,69,32,69,26,38,2
2008,"Ledgewood","7",40,4,0,44,69,32,69,26,38,1
2008,"Ledgewood","8",54,3,3,40,69,40,69,30,30,2
2008,"Ledgewood","8",40,2,1,40,69,40,69,30,30,2
2008,"Ledgewood","8",69,1,1,40,69,40,69,30,30,2
2008,"Ledgewood","8",62,2,0,40,69,40,69,30,30,3
2008,"Ledgewood","8",44,2,0,40,69,40,69,30,30,3
2008,"Ledgewood","9",40,6,1,40,74,40,74,35,35,2
2008,"Ledgewood","9",44,1,1,40,74,40,74,35,35,2
2008,"Ledgewood","9",62,4,0,40,74,40,74,35,35,3
2008,"Ledgewood","9",69,3,3,40,74,40,74,35,35,2
2008,"Ledgewood","9",54,2,4,40,74,40,74,35,35,2
2008,"Ledgewood","9",74,1,1,40,74,40,74,35,35,2
2008,"Limpet Lane","1",50,2,1,38,67,50,50,30,1,2
2008,"Limpet Lane","1",57,0,2,38,67,50,50,30,1,2
2008,"Limpet Lane","1",38,0,2,38,67,50,50,30,1,2
2008,"Limpet Lane","1",67,0,4,38,67,50,50,30,1,2
2008,"Limpet Lane","1",43,0,2,38,67,50,50,30,1,2
2008,"Limpet Lane","2",38,0,2,38,67,50,50,30,1,2
2008,"Limpet Lane","2",50,1,2,38,67,50,50,30,1,2
2008,"Limpet Lane","2",67,0,4,38,67,50,50,30,1,2
2008,"Limpet Lane","3",50,1,2,50,67,50,67,18,18,2
2008,"Limpet Lane","3",67,2,1,50,67,50,67,18,18,2
2008,"Limpet Lane","4",50,1,0,67,67,50,67,1,18,1
2008,"Limpet Lane","4",67,4,1,67,67,50,67,1,18,2
2008,"Limpet Lane","5",67,0,1,67,67,NA,NA,1,NA,2
2008,"Limpet Lane","6",67,0,2,67,67,NA,NA,1,NA,2
2008,"Malmo Bluff","1",25,1,0,NA,NA,25,46,NA,22,3
2008,"Malmo Bluff","1",46,6,0,NA,NA,25,46,NA,22,3
2008,"Malmo Bluff","10",46,1,0,NA,NA,46,46,NA,1,3
2008,"Malmo Bluff","11",53,1,0,NA,NA,46,53,NA,8,3
2008,"Malmo Bluff","11",46,2,0,NA,NA,46,53,NA,8,3
2008,"Malmo Bluff","12",46,1,0,NA,NA,46,46,NA,1,3
2008,"Malmo Bluff","13",65,0,1,65,65,46,46,1,1,2
2008,"Malmo Bluff","13",46,2,0,65,65,46,46,1,1,1
2008,"Malmo Bluff","14",46,1,0,NA,NA,46,46,NA,1,3
2008,"Malmo Bluff","15",65,0,2,65,65,53,53,1,1,2
