"year","site","week","PG_count"
2010,"Pratts Bluff",28,30
2010,"Pratts Bluff",30,27
2010,"Pratts Bluff",32,24
2010,"Rolling Hills",26,69
2010,"Rolling Hills",27,84
2010,"Rolling Hills",28,105
2010,"Rolling Hills",29,86
2010,"Rolling Hills",30,108
2010,"Rolling Hills",31,97
2010,"Shore Meadows",27,47
2010,"Shore Meadows",26,71
2010,"Shore Meadows",28,75
2010,"Shore Meadows",29,48
2010,"Shore Meadows",30,60
2010,"Shore Meadows",31,43
2010,"Shore Meadows",27,57
2010,"Shore Meadows",28,61
2010,"Shore Meadows",29,72
2010,"Shore Meadows",29,41
2010,"Shore Meadows",31,81
2010,"Shore Meadows",32,56
2010,"Shore Meadows",32,55
2010,"Shore Meadows",33,76
2010,"Swantown",26,27
2010,"Swantown",28,21
2010,"Swantown",29,15
2010,"Swantown",30,29
2010,"Swantown",31,22
2010,"Swantown",32,23
2011,"Cliffside",26,23
2011,"Cliffside",27,18
2011,"Cliffside",28,23
2011,"Cliffside",31,33
2011,"Cliffside",33,22
2011,"Crescent Harbor",26,15
2011,"Crescent Harbor",27,12
2011,"Double Bluff North",27,90
2011,"Double Bluff North",28,64
2011,"Double Bluff North",29,87
2011,"Double Bluff North",30,78
2011,"Double Bluff North",31,89
2011,"Double Bluff North",33,101
2011,"Double Bluff South",26,12
2011,"Double Bluff South",27,17
2011,"Double Bluff South",28,15
2011,"Double Bluff South",29,18
2011,"Double Bluff South",30,10
2011,"Double Bluff South",31,13
2011,"Double Bluff South",32,18
2011,"Forbes Point",27,27
2011,"Forbes Point",29,27
2011,"Forbes Point",30,27
2011,"Forbes Point",31,31
2011,"Forbes Point",32,33
2011,"Forbes Point",33,28
2011,"Fort Casey",25,50
2011,"Fort Casey",26,46
2011,"Fort Casey",28,55
2011,"Fort Casey",29,60
2011,"Fort Casey",29,40
2011,"Fort Casey",31,40
2011,"Fort Casey",33,45
2011,"Fort Casey",33,32
2011,"Hancock Lake",26,76
2011,"Hancock Lake",27,86
2011,"Hancock Lake",28,63
2011,"Hancock Lake",29,85
2011,"Hancock Lake",30,83
2011,"Hancock Lake",31,81
2011,"Harrington North",27,18
2011,"Harrington North",28,15
2011,"Harrington North",29,22
2011,"Harrington North",30,25
2011,"Harrington North",31,17
2011,"Harrington North",32,20
2011,"Harrington South",26,14
2011,"Harrington South",27,18
2011,"Harrington South",28,12
2011,"Harrington South",29,19
2011,"Harrington South",31,14
2011,"Harrington South",32,20
2011,"Hastie Lake",26,33
2011,"Hastie Lake",27,22
2011,"Hastie Lake",28,35
2011,"Hastie Lake",29,28
