region,site,date,intern_data,burrow_name,visit_type,visits
Whidbey,Fort Casey North,8/5/17,,b.2,noprey,1
Whidbey,Fort Casey North,8/5/17,,b.2,other,1
Whidbey,Fort Casey North,8/5/17,,b.8,noprey,1
Whidbey,Fort Casey North,8/5/17,,b.10,sculpin,1
Whidbey,Fort Casey North,8/5/17,,b.9,noprey,2
Whidbey,Fort Casey North,8/5/17,,b.11,noprey,3
Whidbey,Fort Casey North,8/5/17,,b.12,noprey,1
Whidbey,Fort Casey North,8/5/17,,b.13,noprey,2
Whidbey,Hancock Lake,8/7/17,,b.4,sculpin,1
Whidbey,Hancock Lake,8/7/17,,b.4,gunnels,1
Whidbey,Hancock Lake,8/7/17,,b.10,noprey,1
Whidbey,Hancock Lake,8/7/17,,b.10,sculpin,2
Whidbey,Hancock Lake,8/7/17,,b.11,sculpin,1
Whidbey,Hancock Lake,8/7/17,,b.11,gunnels,2
Whidbey,Hancock Lake,8/7/17,,b.20,noprey,1
Whidbey,Hancock Lake,8/7/17,,b.S7,sculpin,1
Whidbey,Possession Point,8/6/17,,b.e-1,sculpin,1
Whidbey,Possession Point,8/6/17,,b.e-1,gunnels,1
Whidbey,Possession Point,8/12/17,,b.e-1,gunnels,3
Whidbey,Possession Point,8/12/17,,b.e-1,other,1
Whidbey,Pratts Bluff,8/8/17,,b.14,sculpin,1
Whidbey,Malmo Bluff,8/15/17,,b.2,other,1
Whidbey,Malmo Bluff,8/15/17,,b.19,sculpin,1
Whidbey,Clinton Ferry Dock,8/13/17,,b.2,noprey,4
Whidbey,Mutiny Sands,8/17/17,,b.25,sculpin,1
Whidbey,Lagoon South,8/17/17,,b.4B,sculpin,1
Whidbey,Lagoon South,8/17/17,,b.4B,other,1
Whidbey,Swantown,8/17/17,,b.2,other,1
Whidbey,Swantown,8/17/17,,b.3,gunnels,1
Whidbey,Limpet Lane,8/11/17,,b.B2,gunnels,1
Whidbey,Limpet Lane,8/11/17,,b.MRT,sculpin,1
Whidbey,Limpet Lane,8/11/17,,b.RT,noprey,1
Whidbey,Limpet Lane,8/11/17,,b.RT,other,1
Whidbey,Limpet Lane,8/18/17,,b.B2,noprey,1
Whidbey,Limpet Lane,8/18/17,,b.B2,gunnels,1
Whidbey,Keystone,8/12/17,,b.8,gunnels,1
Whidbey,Keystone,8/12/17,,b.8,other,1
Whidbey,Keystone,8/12/17,,b.5,sculpin,1
Whidbey,Keystone,8/12/17,,b.5,other,1
Whidbey,Keystone,8/12/17,,b.6,gunnels,1
Whidbey,Coupeville Wharf,8/12/17,,b.3,noprey,1
Whidbey,Coupeville Wharf,8/12/17,,b.3,gunnels,2
Whidbey,Cliffside -- INTERN,8/10/17,on,b.5,gunnels,5
Whidbey,Cliffside -- INTERN,8/10/17,on,b.6,other,3
Whidbey,Cliffside -- INTERN,8/14/17,on,b.5,gunnels,8
Whidbey,Cliffside -- INTERN,8/14/17,on,b.5,other,2
Whidbey,Cliffside -- INTERN,8/14/17,on,b.6,other,5
Whidbey,Cliffside -- INTERN,8/16/17,on,b.6,gunnels,1
Whidbey,Cliffside -- INTERN,8/16/17,on,b.6,other,3
Whidbey,Cliffside -- INTERN,8/16/17,on,b.5,gunnels,2
Whidbey,Cliffside -- INTERN,8/16/17,on,b.5,other,1
Whidbey,Cliffside -- INTERN,8/18/17,on,b.5,gunnels,3
Whidbey,Cliffside -- INTERN,8/18/17,on,b.6,other,1
Whidbey,Rolling Hills #1 -- INTERN,8/11/17,on,b.6a,gunnels,1
Whidbey,Rolling Hills #1 -- INTERN,8/15/17,on,b.6a,sculpin,1
