region,site,date,start_time,end_time,PG_count,burrow_count,burrow_visit,intern_data,qaqc,mult_count
Whidbey,Double Bluff North,8/18/10,8:25,9:28,12,36,,,,
Whidbey,Double Bluff North,8/25/10,8:23,9:30,34,36,,,,
Whidbey,Double Bluff North,7/1/11,8:25,9:35,14,2,1,,,
Whidbey,Double Bluff North,7/7/11,8:28,940,90,11,17,,,
Whidbey,Double Bluff North,7/14/11,8:25,9:38,64,19,6,,,
Whidbey,Double Bluff North,7/21/11,8:20,9:25,87,23,1,,,
Whidbey,Double Bluff North,7/28/11,8:25,9:33,78,24,,,,
Whidbey,Double Bluff North,8/4/11,8:35,9:48,89,26,22,,,
Whidbey,Double Bluff North,8/11/11,8:05,9:20,44,27,1,,,
Whidbey,Double Bluff North,8/18/11,8:15,9:20,101,28,10,,,
Whidbey,Double Bluff North,8/25/11,8:15,9:18,10,28,,,,
Whidbey,Double Bluff North,9/1/11,8:25,9:25,5,28,,,,
Whidbey,Double Bluff North,6/27/12,8:30,9:35,83,4,6,,,
Whidbey,Double Bluff North,7/6/12,8:18,9:30,86,13,26,,,
Whidbey,Double Bluff North,7/13/12,8:25,9:35,77,14,2,,,
Whidbey,Double Bluff North,7/21/12,8:15,9:28,83,14,10,,,
Whidbey,Double Bluff North,7/27/12,8:15,9:10,54,14,1,,,
Whidbey,Double Bluff North,8/2/12,8:23,9:36,26,14,2,,,
Whidbey,Double Bluff North,8/10/12,8:16,9:30,60,14,,,,
Whidbey,Double Bluff North,8/16/12,8:12,9:12,22,15,,,,
Whidbey,Double Bluff North,8/24/12,8:15,9:15,20,15,,,,
Whidbey,Double Bluff North,8/31/12,8:15,9:18,5,15,,,,
Whidbey,Double Bluff North,6/26/13,8:30,9:39,45,3,3,,,
Whidbey,Double Bluff North,7/3/13,8:20,9:30,61,14,11,,,
Whidbey,Double Bluff North,7/10/13,8:20,9:26,45,19,7,,,
Whidbey,Double Bluff North,7/17/13,8:15,9:20,40,20,3,,,
Whidbey,Double Bluff North,7/24/13,8:24,9:25,42,20,21,,,
Whidbey,Double Bluff North,7/31/13,8:10,9:15,40,21,4,,,
Whidbey,Double Bluff North,8/7/13,8:10,9:15,61,21,1,,,
Whidbey,Double Bluff North,8/14/13,8:10,9:20,42,21,,,,
Whidbey,Double Bluff North,8/21/13,8:19,9:20,13,21,,,,
Whidbey,Double Bluff North,6/30/09,8:50,10:20,72,23,,,,
Whidbey,Double Bluff North,7/7/09,8:45,10:00,93,27,,,,
Whidbey,Double Bluff North,7/14/09,8:45,9:53,117,33,,,,
Whidbey,Double Bluff North,7/20/09,8:30,9:40,65,36,,,,
Whidbey,Double Bluff North,7/30/09,8:37,9:50,110,37,,,,
Whidbey,Double Bluff North,8/5/09,8:44,9:52,56,37,,,,
Whidbey,Double Bluff North,8/11/09,7:45,8:55,118,37,,,,
Whidbey,Double Bluff North,8/19/09,8:35,9:42,35,37,,,,
Whidbey,Double Bluff North,6/26/08,8:15,10:45,66,7,,,,
