Site,Date,Count,Count type,Comment,QAQC,,,,,,,,,,,,,,,,,,,,
Butterball South A,8/6/2015,9,End,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,8/13/2015,0,Start,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,8/13/2015,0,Middle,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,8/13/2015,0,End,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,8/20/2015,0,Start,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,8/20/2015,0,Middle,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,8/20/2015,0,End,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,8/27/2015,0,Start,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,8/27/2015,2,Middle,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South A,8/27/2015,3,End,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South B,6/24/2015,8,Start,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South B,6/24/2015,14,Middle,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South B,6/24/2015,18,End,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South B,7/9/2015,0,Start,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South B,7/9/2015,1,Middle,,Y,,,,,,,,,,,,,,,,,,,,
Butterball South B,7/9/2015,0,End,,Y,,,,,,,,,,,,,,,,,,,,
Cole Point West,6/10/2015,1,Start,,,,,,,,,,,,,,,,,,,,,,
Cole Point West,6/10/2015,1,Middle,,,,,,,,,,,,,,,,,,,,,,
Cole Point West,6/10/2015,0,End,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,6/11/2015,7,Start,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,6/11/2015,11,Middle,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,6/11/2015,2,End,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,6/17/2015,2,Start,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,6/17/2015,3,Middle,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,6/17/2015,0,End,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,6/23/2015,3,Start,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,6/23/2015,2,Middle,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,6/23/2015,5,End,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/2/2015,7,Start,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/2/2015,9,Middle,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/2/2015,2,End,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/6/2015,10,Start,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/6/2015,7,Middle,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/6/2015,5,End,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/16/2015,13,Start,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/16/2015,13,Middle,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/16/2015,10,End,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/24/2015,3,Start,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/24/2015,6,Middle,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/24/2015,9,End,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/28/2015,12,Start,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/28/2015,9,Middle,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,7/28/2015,8,End,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,8/5/2015,4,Start,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,8/5/2015,2,Middle,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,8/5/2015,5,End,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,8/11/2015,4,Start,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,8/11/2015,4,Middle,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,8/11/2015,3,End,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,8/25/2015,0,Start,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,8/25/2015,0,Middle,,,,,,,,,,,,,,,,,,,,,,
Cole Point East,8/25/2015,0,End,,,,,,,,,,,,,,,,,,,,,,
Compass Rock,6/27/2015,2,Start,,,,,,,,,,,,,,,,,,,,,,
Compass Rock,6/27/2015,0,Middle,,,,,,,,,,,,,,,,,,,,,,
Compass Rock,6/27/2015,0,End,,,,,,,,,,,,,,,,,,,,,,
Compass Rock,7/7/2015,7,Start,,,,,,,,,,,,,,,,,,,,,,
Compass Rock,7/7/2015,7,Middle,,,,,,,,,,,,,,,,,,,,,,
Compass Rock,7/7/2015,7,End,,,,,,,,,,,,,,,,,,,,,,
Compass Rock,7/17/2015,4,Start,,,,,,,,,,,,,,,,,,,,,,
Compass Rock,7/17/2015,6,Middle,,,,,,,,,,,,,,,,,,,,,,
Compass Rock,7/17/2015,6,End,,,,,,,,,,,,,,,,,,,,,,
Compass Rock,7/22/2015,4,Start,,,,,,,,,,,,,,,,,,,,,,
Compass Rock,7/22/2015,2,Middle,,,,,,,,,,,,,,,,,,,,,,
Compass Rock,7/22/2015,4,End,,,,,,,,,,,,,,,,,,,,,,
Flapjack,6/8/2015,8,Start,,,,,,,,,,,,,,,,,,,,,,
Flapjack,6/8/2015,4,Middle,,,,,,,,,,,,,,,,,,,,,,
Flapjack,6/8/2015,7,End,,,,,,,,,,,,,,,,,,,,,,
Flapjack,6/23/2015,4,Start,,,,,,,,,,,,,,,,,,,,,,
Flapjack,6/23/2015,6,Middle,,,,,,,,,,,,,,,,,,,,,,
Flapjack,6/23/2015,4,End,,,,,,,,,,,,,,,,,,,,,,
Flapjack,6/29/2015,8,Start,,,,,,,,,,,,,,,,,,,,,,
Flapjack,6/29/2015,3,Middle,,,,,,,,,,,,,,,,,,,,,,
Flapjack,6/29/2015,2,End,,,,,,,,,,,,,,,,,,,,,,
Flapjack,7/7/2015,10,Start,,,,,,,,,,,,,,,,,,,,,,
Flapjack,7/7/2015,12,Middle,,,,,,,,,,,,,,,,,,,,,,
Flapjack,7/7/2015,11,End,,,,,,,,,,,,,,,,,,,,,,
Flapjack,7/13/2015,9,Start,,,,,,,,,,,,,,,,,,,,,,
Flapjack,7/13/2015,10,Middle,,,,,,,,,,,,,,,,,,,,,,
Flapjack,7/13/2015,7,End,,,,,,,,,,,,,,,,,,,,,,
Flapjack,7/20/2015,12,Start,,,,,,,,,,,,,,,,,,,,,,
Flapjack,7/20/2015,12,Middle,,,,,,,,,,,,,,,,,,,,,,
Flapjack,7/20/2015,12,End,,,,,,,,,,,,,,,,,,,,,,
Flapjack,8/1/2015,15,Start,,,,,,,,,,,,,,,,,,,,,,
Flapjack,8/1/2015,11,Middle,,,,,,,,,,,,,,,,,,,,,,
Flapjack,8/1/2015,15,End,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,6/11/2015,0,Start,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,6/11/2015,0,Middle,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,6/11/2015,0,End,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,6/18/2015,5,Start,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,6/18/2015,0,Middle,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,6/18/2015,5,End,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,6/26/2015,0,Start,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,6/26/2015,1,Middle,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,6/26/2015,2,End,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/2/2015,1,Start,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/2/2015,3,Middle,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/2/2015,5,End,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/9/2015,3,Start,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/9/2015,9,Middle,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/9/2015,7,End,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/16/2015,8,Start,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/16/2015,5,Middle,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/16/2015,5,End,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/23/2015,8,Start,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/23/2015,9,Middle,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/23/2015,9,End,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/30/2015,12,Start,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/30/2015,13,Middle,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,7/30/2015,2,End,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,8/7/2015,3,Start,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,8/7/2015,6,Middle,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,8/7/2015,8,End,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,8/13/2015,6,Start,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,8/13/2015,4,Middle,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,8/13/2015,2,End,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,8/19/2015,5,Start,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,8/19/2015,5,Middle,,,,,,,,,,,,,,,,,,,,,,
Higgins Cove,8/19/2015,0,End,,,,,,,,,,,,,,,,,,,,,,
Ketron Ferry,6/18/2015,4,Start,,,,,,,,,,,,,,,,,,,,,,
Ketron Ferry,6/18/2015,9,Middle,,,,,,,,,,,,,,,,,,,,,,
Ketron Ferry,6/18/2015,12,End,,,,,,,,,,,,,,,,,,,,,,
Ketron Ferry,6/25/2015,14,Start,,,,,,,,,,,,,,,,,,,,,,
Ketron Ferry,6/25/2015,15,Middle,,,,,,,,,,,,,,,,,,,,,,
Ketron Ferry,6/25/2015,14,End,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,6/16/2015,3,Start,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,6/16/2015,2,Middle,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,6/16/2015,0,End,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,6/23/2015,20,Start,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,6/23/2015,14,Middle,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,6/23/2015,12,End,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,7/14/2015,6,Start,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,7/14/2015,4,Middle,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,7/14/2015,1,End,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,7/21/2015,11,Start,,,,,,,,,,,,,,,,,,,,,,
Ketron SE,7/21/2015,9,Middle,,,,,,,,,,,,,,,,,,,,,,
